0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:28 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:32 -0800] "GET /cs122b-project/page/searchResult.html?browseType=firstLetter&category=A HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:32 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:32 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:32 -0800] "GET /cs122b-project/api/browse?browseType=firstLetter&category=A&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 5256
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/page/search.html HTTP/1.1" 200 9080
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/js/advancedSearch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/css/search.css HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/js/searchResult.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/js/search.js HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/js/TopMovies.js HTTP/1.1" 200 4788
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/js/textSearch.js HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/api/browse?browseType=null&category=null&sequenceBase=title&ascOrDes=asc&limit=20&offset=0 HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/api/genres HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [19/Feb/2019:16:51:51 -0800] "GET /cs122b-project/api/topMovies?NumofMovie=3 HTTP/1.1" 200 12226
